name,about_us,source,cb_id,cb_desc
csc,,BD,csc,"CSC is a leading global IT services company. CSC is a global leader in providing technology-enabled business solutions and services. CSC has helped its clients manage and profit from every major wave of change in IT since its formation in 1959.  CSC provides innovative solutions for customers around the world by applying leading technologies and CSC's own advanced capabilities. These include systems design and integration, IT and business process outsourcing (BPO), applications software development, Web and application hosting, and management and technology consulting."
csx,,BD,csx-corporation,"CSX Corporation, together with its subsidiaries based in Jacksonville, Florida, is one of the nation's leading transportation suppliers. The company’s rail and intermodal businesses provide rail-based transportation services including traditional rail service and the transport of intermodal containers and trailers.  CSX serves major markets in the eastern United States and has access to over 70 ocean, river and lake port terminals along the Atlantic and Gulf Coasts, the Mississippi River, the Great Lakes and the St. Lawrence Seaway. The company also has access to Pacific ports through alliances with western railroads.  CSX moves a broad portfolio of products across the country in a way that minimizes the effect on the environment, takes traffic off an already congested highway system, and minimizes fuel consumption and transportation costs."
cummins,,BD,cummins,"Cummins Inc. is a diesel engine manufacturer. The Company designs, manufactures, distributes and services diesel and natural gas engines, electric power generation systems and engine-related component products, including filtration, exhaust aftertreatment, fuel systems, fuel systems, controls systems, air handling systems and electric power.   The Company sells its products to original equipment manufacturers (OEMs), distributors and other customers worldwide. It serves its customers through a network of more than 600 company owned and independent distributor locations and more than 6,500 dealer locations in more than 190 countries and territories.   It has four segments: Engine, Power Generation, Components and Distribution.   In April 2011, the Company sold its exhaust business to Global Tube. In July 2012, the Company acquired the emission control assets of Hilite International in Marktheidenfeld. The Hilite assets are part of Cummins Emission Solution (CES)."
danaher,,BD,danaher,"Danaher Corporation (Danaher) designs, manufactures and markets professional, medical, industrial and commercial products and services. The Company’s research and development, manufacturing, sales, distribution, service and administrative facilities are located in more than 50 countries. It operates in five segments: Test & Measurement; Environmental; Life Sciences & Diagnostics; Dental; and Industrial Technologies. In April 2011, the Company sold its Pacific Scientific Aerospace (PSA) business.   On June 30, 2011, the Company acquired Beckman Coulter, Inc. (Beckman Coulter). In January 2012, the Company sold its Accu-Sort businesses. In February 2012, the Company sold its Kollmorgen Electro-Optical (KEO) business. During the year ended December 31, 2011, the Company acquired EskoArtwork, On February 6, 2012, L-3 Communications Holdings, Inc. acquired Kollmorgen Electro-Optical unit of the Company."
davita-healthcar,,BD,davita-healthcare-partners,"DaVita® and HealthCare Partners® have joined forces to become one of the nation's largest and most innovative healthcare communities. The merged entity, DaVita HealthCare Partners Inc., leverages a shared passion for and commitment to clinical excellence and improving patients' health and quality of life.  As an operating division of DaVita HealthCare PartnersSM, DaVita is focused on setting worldwide standards for clinical, social and operational practices in kidney care. From raising awareness of chronic kidney disease to providing industry-leading, no-cost diet- and health-management resources to people diagnosed with it, DaVita will continue its pursuit to keep people off dialysis as long as possible—and to improve access to treatment and quality of life for those who do need dialysis"
dean-foods-company,,F500,dean-foods,"Dean Foods Company, together with its subsidiaries, operates as a food and beverage company in the United States. The company operates in two segments, DSD Dairy and WhiteWave-Morningstar.  Dean Foods Company was founded in 1925. It was formerly known as Suiza Foods Corporation and changed its name to Dean Foods Company in 2001."
dell,,BD,dell,Dell is transforming computing and providing high quality solutions that empower people to do more all over the world.
deloitte,,BD,deloitte,"“Deloitte” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management, tax and related services to select clients.  These firms are members of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (“DTTL”). Each DTTL member firm provides services in particular geographic areas and is subject to the laws and professional regulations of the particular country or countries in which it operates.   Each DTTL member firm is structured in accordance with national laws, regulations, customary practice, and other factors, and may secure the provision of professional services in its territory through subsidiaries, affiliates, and other related entities.  Not every DTTL member firm provides all services, and certain services may not be available to attest clients under the rules and regulations of public accounting.   DTTL and each DTTL member firm are legally separate and independent entities, which cannot obligate each other.  DTTL and each DTTL member firm are liable only for their own acts and omissions, and not those of each other.  DTTL (also referred to as “Deloitte Global”) does not provide services to clients.   The DTTL member firm in the United States is Deloitte LLP. Deloitte’s offices in New York have over 5,000 professionals in Audit, Advisory, Financial Advisory Services, Tax, and Consulting. Deloitte’s U.S. headquarters at 30 Rockefeller Plaza in Manhattan was awarded the U.S. Green Building Council’s Leadership in Energy and Environmental Design (LEED) Certification at the Gold level for commercial interiors in 2013. Deloitte designed its headquarters as a next generation workplace, bringing to life the organization’s commitment to cutting-edge technology, open and flexible work settings and conference and training facilities."
directv,,BD,directv,"DIRECTV (NASDAQ: DTV) is the world's most popular video service delivering state-of-the-art technology, unmatched programming, the most comprehensive sports packages available and industry leading customer service to its more than 25 million customers in the U.S. and Latin America. In the U.S., DIRECTV offers its 18.56 million customers more than 130 HD channels and Dolby-Digital 5.1 theater-quality sound (when available), access to exclusive sports programming such as NFL SUNDAY TICKET, award winning technology like its DIRECTV DVR Scheduler and higher customer satisfaction than the leading cable companies for nine years running. DIRECTV Latin America, through its subsidiaries and affiliated companies in Brazil, Mexico, Argentina, Venezuela, Colombia, and other Latin American countries, leads the pay-TV category in technology, programming and service, delivering an unrivaled digital television experience to 6.5 million customers. DIRECTV sports and entertainment properties include three Regional Sports Networks (Northwest, Rocky Mountain and Pittsburgh) as well as a 65 percent interest in Game Show Network. For the most up-to-date information on DIRECTV, please call 1-800-DIRECTV or visit directv.com."
dollar-tree,,BD,dollar-tree-stores-inc,"Dollar Tree is a chain of discount stores that carries a variety of merchandise including housewares, glassware, dinnerware, cleaning supplies, candy, snacks, food, health and beauty, toys, gifts, gift bags and wrap, party supplies, stationery, craft supplies, teaching supplies, books, seasonal décor, and more for $1 or less."
dover-corporation,,F500,dover,"Dover Corporation (Dover) owns and operates a global portfolio of manufacturing companies providing components and equipment, specialty systems and support services for a variety of applications in the industrial products, engineered systems, fluid management and electronic technologies markets. The Company operates in four business segments: Industrial Products, Engineered Systems, Fluid Management and Electronic Technologies. The products designed, manufactured, assembled and/or serviced by the Company includes material handling equipment, mobile equipment related products, engineered products, product identification related products, energy market production and distribution products, fluid solution products, and electronic technology equipment and devices/components. In January 2011, the Company acquired Harbison Fischer, Inc., a designer and manufacturer of down-hole rod pumps and related products."
dte-energy-co,,BD,dte-energy,DTE Energy provides gas & electric utility services to MI homes and businesses.
eastman-chemical-company,,F500,eastman-chemical-company,"Eastman Chemical Company (Eastman) is a global specialty chemicals company that produces a range of advanced materials, chemicals and fibers that are found in products people use every day. Eastman has over 40 manufacturing sites in 16 countries and equity interests in joint ventures that supply chemicals, plastics, and fibers products to customers throughout the world. Eastman has a portfolio of specialty businesses that hold positions and provide products that enhance performance in a variety of end markets such as transportation, building and construction, and consumables. Eastman management believes that the Company's end-market diversity is a source of strength, as these markets are benefiting from longer-term global trends such as energy efficiency, a rising middle class in emerging economies, and increased health and wellness. On July 2, 2012, the Company completed its acquisition of Solutia Inc. (Solutia)."
emcor-group,,F500,emcor-group,"EMCOR Group, Inc. (NYSE: EME) is a Fortune 500 company and global leader in mechanical and electrical construction, energy infrastructure, LEED construction, design/build, life safety, and facilities services.  As a leading provider of critical infrastructure systems, EMCOR gives life to new structures and sustains life in existing ones via high-quality commercial construction services and facilities services which include planning, installing, operating, maintaining and protecting the sophisticated systems that create facility environments. This includes electrical, mechanical, lighting, HVAC systems, heating and air conditioning, facilities security, fire protection, and energy power generation systems — in virtually every sector of the economy, and for a diverse range of businesses, organizations and government, EMCOR is there.  EMCOR represents a rare combination of broad reach with local execution, combining the strength of an industry leader with the knowledge and care of 170+ locations. The 27,000+ skilled employees of EMCOR have ranked the company, in the eyes of leading business publications, among the ""World's Most Admired"" and ""Best Managed."""
emerson,,BD,emerson,"Emerson is where technology and engineering come together to create solutions for the benefit of our customers, driven without compromise for a world in action."
energy-future-holdings-corp,,F500,energy-future-holdings,"Energy Future Holdings Corp. is a Dallas-based, privately held energy company with a portfolio of competitive and regulated energy companies. These businesses serve the high-growth Texas electricity market, which is one of world’s largest and among the nation’s most successful competitive markets."
entergy,,BD,entergy-corporation,"Entergy Corporation is an integrated energy company engaged primarily in electric power production and retail distribution operations. Entergy owns and operates power plants with approximately 30,000 megawatts of electric generating capacity, including nearly 10,000 megawatts of nuclear power."
envision-healthcare-holdings,,F500,envision-healthcare,"Envision Healthcare is a Healthcare Benefits Manager that specializes in the creation, development and implementation of Consumer Driven Health Care plans. Our goal is to change the way healthcare is financed and delivered in America. We do this by providing employers and employees the tools and information to make wise healthcare choices."
eog-resources,,BD,eog-resources,"EOG Resources is a Fortune 500 company with its headquarters in the Heritage Plaza building in downtown Houston, Texas. The company is one of the largest independent oil and natural gas companies in the United States with proven reserves in the United States, Canada, Trinidad and Tobago, the United Kingdom, and China. EOG Resources, Inc. is listed on the New York Stock Exchange and is traded under the ticker symbol ""EOG""."
equinix,,BD,equinix,"Equinix provides global data center services that ensure the vitality of the information-driven world. Global enterprises, content and financial companies, and nearly 600 network service providers rely upon Equinix's insight and expertise to protect and connect their most valued information assets.   Currently, Equinix operates 90 International Business Exchange™ (IBX®) data centers across 35 major metropolitan areas in 11 countries in North America, Europe and Asia-Pacific."
expedia.com,,BD,expedia,"Expedia is an online travel agency. It enables users to access a wide ranges of services. It books airline tickets, hotel reservations, car rentals, cruises, vacation packages, and various attractions and services via the world wide web and telephone travel agents. Its primary web businesses include Expedia.com, Hotels.com, Hotwire.com, and Egencia.com. It launched Tripadvisor in 2011. It also offers services for corporate travel and travel services in Europe and Asia.   Expedia also operates internationally with sites in Canada, the United Kingdom, Germany, France, Italy, Spain, the Netherlands, Norway, Sweden, Denmark, Australia, Japan, and China. It is done through its investment in eLong."
expeditors-international-of-washington,,F500,expeditors-international,"Expeditors is a global logistics company headquartered in Seattle, Washington. As a Fortune 500 company, we employ over 14,600 trained professionals in a worldwide network of over 250 locations across six continents. Expeditors satisfies the increasingly sophisticated needs of international trade through customized solutions and seamless, integrated information systems. Our services include the consolidation and forwarding of air or ocean freight, customs brokerage, vendor consolidation, cargo insurance, time-definite transportation, order management, warehousing, distribution and customized logistics solutions.  At Expeditors, we pride ourselves on being a solutions-based organization and take time to understand each customer's individual business needs. As a non-asset based organization, we have considerable flexibility when managing customers' supply chains. Due to our relationships with local suppliers and global air and ocean partners, we can provide customers with the best routing and pricing options. Our comprehensive, flexible spectrum of services is supported by leading-edge information technology that provides a high level of visibility from end to end.  To maintain consistent quality and customer service across the globe, Expeditors has regional headquarters located in London, Dubai, Shanghai and Singapore."
express-scripts,,BD,express-scripts,"Express Scripts makes the use of prescription drugs safer and more affordable for tens of millions of consumers through thousands of employers, government, union and health plans."
exxonmobil,,BD,exxonmobil,"ExxonMobil is the world's largest publicly traded international oil and gas company. It holds an industry-leading inventory of global oil and gas resources. ExxonMobil is the world's largest refiner and marketer of petroleum products, and its chemical company ranks among the world's largest. It is also a technology company, applying science and innovation to find better, safer and cleaner ways to deliver the energy the world needs.  ExxonMobil was formed through the merging of [Exxon](http://www.crunchbase.com/company/exxon) and [Mobil](http://www.crunchbase.com/company/mobil), which were formerly known as Standard Oil of New Jersey and Standard Oil of New York, respectively. Both of these companies were descendants of the Standard Oil Company, which was dissembled in 1911 due to its monopolistic nature.   Since merging on November 30, 1999, ExxonMobil has grown to be the world's third largest company by revenue and the second largest publicly traded company by market capitalization. ExxonMobil owns 37 refineries in 21 countries and makes on an average 6.3 million barrels of refined oil per day.   ExxonMobil markets products all over the world under brand names such as [Exxon](http://www.crunchbase.com/company/exxon), [Mobil](http://www.crunchbase.com/company/mobil) and Esso. The company also owns several hundred subsidiaries in various locations that aid in the production and distribution of ExxonMobil products."
facebook,,BD,facebook,"Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections. It provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and sharing, and more.   Facebook’s profile structure includes a timeline, information related to the user, images of the user, images added by friends of the user, notes, pages, groups, and more. It enables its users to create pages related to entertainment, sports, business, finance, preferences, hobbies, culture, religion, causes, organizations, and a number of other categories. It also enables its users to join or create groups related to a vast number of categories.   With millions of more users, [Friendster](http://www.crunchbase.com/organization/friendster) attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners](http://www.crunchbase.com/organization/accel-partners) at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners](http://www.crunchbase.com/organization/greylock) and [Meritech Capital](http://www.crunchbase.com/organization/meritech-capital-partners) as well as previous investors [Accel Partners](http://www.crunchbase.com/organization/accel-partners) and [Peter Thiel](http://www.crunchbase.com/person/peter-thiel). The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally in September 2006, Facebook was opened to anyone with an email address.   Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ](http://www.crunchbase.com/organization/nasdaq-private-market) with shares trading at $42.05.   Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo sharing site with 250 million photos uploaded per day.   The company has strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere.   Facebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, [RSS Graffiti](http://www.crunchbase.com/organization/rss-graffiti), [Huddle](http://www.crunchbase.com/product/huddle), and more. It is the world’s largest social network with over 1.32 billion monthly active users.   Facebook was founded by [Mark Zuckerberg](http://www.crunchbase.com/person/mark-zuckerberg), [Eduardo Saverin](http://www.crunchbase.com/person/eduardo-saverin), [Andrew McCollum](http://www.crunchbase.com/person/andrew-mccollum), [Dustin Moskovitz](http://www.crunchbase.com/person/dustin-moskovitz), and [Chris Hughes](http://www.crunchbase.com/person/chris-hughes) on February 4, 2004 in Menlo Park, California."
family-dollar,,BD,family-dollar-stores,"In 1958, a 21-year-old entrepreneur with an interest in merchandising became intrigued with the idea of operating a low-overhead, self-service retail store. Leon Levine believed he could offer his customers a variety of high-quality, good value merchandise for under $2. Because he had grown up in his family’s retail store, he understood value, quality and customer satisfaction.   In November 1959, Leon Levine opened the first Family Dollar store in Charlotte, North Carolina, and was on his way to becoming a retailing legend. Right from the start, he had a well-developed philosophy of what Family Dollar would be and how it would operate, a philosophy from which he and his management team have never strayed. The concept is a simple one, “the customers are the boss, and you need to keep them happy.”   He created a general floorplan that he used in each of his stores that allowed customers to easily shop for their favorite products in any Family Dollar store. With the stores uniformly laid out and stocked, store managers were able to focus on providing good customer service. This concept for a self-serve, cash-and-carry neighborhood discount store in low to middle income neighborhoods proved so successful that today Family Dollar is a chain with over 8,000 stores from Maine to California."
fastenal-co,,BD,fastenal-company,"Fastenal has grown from a single store to more than 2,700 locations, each providing tailored local inventory and personal service for our customers. As we've expanded across the world, we've retained a core belief in people and their ability to accomplish remarkable things - if given the opportunity. From this philosophy stems an entrepreneurial culture that challenges every employee to run their own business, create their own success, and rise up to become company leaders.  Backed by our global sourcing, quality, and logistics operations, each store is a local, one-stop source for a spectrum of OEM, MRO and Construction supplies."
fedex,,BD,fedex,"FedEx provides customers and businesses worldwide with a broad portfolio of transportation, e-commerce and business services. They offer integrated business applications through operating companies competing collectively and managed collaboratively, under the respected FedEx brand. Consistently ranked among the world's most admired and trusted employers, FedEx inspires its more than 290,000 employees to remain absolutely, positively focused on safety, the highest ethical and professional standards and the needs of their customers and communities."
fidelity-national,,BD,fidelity-national-financial,"Fidelity National Financial, Inc. (NYSE:FNF), is a leading provider of title insurance, mortgage services and diversified services. FNF is the nation's largest title insurance company through its title insurance underwriters - Fidelity National Title, Chicago Title, Commonwealth Land Title and Alamo Title - that collectively issue more title insurance policies than any other title company in the United States."
first-american-financial-corporation,,F500,first-american,"First American provides financial services through its Title Insurance and Services segment and its Specialty Insurance segment. The First American Family of Companies' core business lines include title insurance and closing/settlement services; title plant management services; title and other real property records and images; valuation products and services; home warranty products; property and casualty insurance; and banking, trust, and investment advisory services."
first-data-corp,,BD,first-data-corporation,"First Data Corporation, a global leader in electronic commerce and payment processing, is headquartered in Atlanta, Georgia. Around the world, every second of every day, First Data makes payment transactions secure, fast and easy for merchants, financial institutions and their customers. First Data leverages its vast product portfolio and expertise to drive customer revenue and profitability. Whether the choice of payment is by debit or credit card, gift card, check or mobile phone, online or at the checkout counter, First Data takes every opportunity to go beyond the transaction.   Serving more than 6 million merchants and over 4,000 financial institutions worldwide, First Data's product portfolio includes merchant transaction processing services; credit, debit, private-label, gift, payroll and other prepaid card issuing and processing; fraud protection and authentication solutions; electronic check acceptance services through TeleCheck; as well as Internet commerce and mobile payment solutions. The company's STAR® Network enables consumers to use their ATM / debit cards to obtain cash and make purchases quickly and securely throughout the United States. STAR is one of the nation’s leading electronic funds transfer (EFT) networks, with more than 2 million retail and ATM locations.  Company Structure First Data Corporation is a global provider of electronic commerce and payment solutions for merchants, financial institutions, and card issuers with operations in 34 countries, serving approximately 6.2 million merchant locations. We were incorporated in Delaware in 1989 and were the subject of an initial public offering in connection with a spin-off from American Express in 1992. On September 24, 2007, we were acquired through a merger transaction with an entity controlled by affiliates of Kohlberg Kravis Roberts & Co. (KKR) that resulted in our equity becoming privately held."
firstenergy-corp,,BD,firstenergy-corp,"FirstEnergy is a diversified energy company headquartered in Akron, Ohio. Its subsidiaries and affiliates are involved in the generation, transmission and distribution of electricity, as well as energy management and other energy-related services. Its seven electric utility operating companies comprise the nation's fifth largest investor-owned electric system, serving 4.5 million customers within 36,100 square miles of Ohio, Pennsylvania and New Jersey; and its generation subsidiaries control more than 14,000 megawatts of capacity. Our Corporate Vision is to become a leading regional energy provider."
fiserv-inc,,BD,fiserv,"Fiserv is a global organization with more than 13,000 clients and 21,000 associates worldwide and takes pride in its mission to enable clients to achieve best-in-class results. The company is highly regarded for its financial services technology and services innovation, including award-winning solutions for mobile and online banking, payments, risk management, data analytics and core account processing.  Fiserv is helping its clients push the boundaries of what's possible in financial services, delivering deep expertise and innovative solutions to help financial institutions, businesses and consumers move and manage money faster and with greater ease than ever before."
fluor,,BD,fluor-corporation,"Fluor is a FORTUNE 500 company that delivers engineering, procurement, construction, maintenance (EPCM), and project management to governments and clients in diverse industries around the world. For nearly a century, clients have selected Fluor as their company of choice to complete challenging projects in remote parts of the world."
ford,,BD,ford,"Ford Motor Company manufactures or distributes automobiles in addition to offering financial services. The company sells to dealerships for retail sale, and for sale to fleet customers, including commercial fleet customers, daily rental car companies, and governments. Ford’s vehicle portfolio includes automobiles, buses, tractors, and trucks.  As a result of these financing activities, Ford Motor Credit Company LLC has a portfolio of finance receivables and operating leases which it classifies into two portfolios— ‘consumer’ and ‘non-consumer’. Finance receivables and operating leases in the consumer portfolio include products offered to individuals and businesses that finance the acquisition of its vehicles from dealers for personal and commercial use. Retail financing includes retail installment sale contracts for new and used vehicles, and direct financing leases for new vehicles to retail customers, government entities, daily rental car companies, and fleet customers. Finance receivables in the non-consumer portfolio include products offered to automotive dealers.  Ford’s environmental initiatives include compressed natural gas, flexible fuel vehicles, electric drive vehicles, Hydrogen, and PC power management, and so on.  Ford Motor Company was founded by Henry Ford in 1903 and is headquartered in Dearborn, Michigan."
franklin-resources,,F500,franklin-resources,"Franklin Resources, Inc. is a global investment management organization known as Franklin Templeton Investments. We have an extensive global presence, including offices in 35 countries and clients in more than 180."
freddie-mac,,F500,freddie-mac,"Freddie Mac provides liquidity, stability and affordability to the US housing market.  Freddie Mac buys mortgages on the secondary market, pools them, and sells them as mortgage-backed securities to investors in the open market. This secondary mortgage market activity increases the supply of capital available to financial institutions for mortgage lending purposes, reduces the cost of capital (interest rates) for residential real estate, and transfers the credit risk of mortgage lending in the US to large, well-capitalized investors worldwide."
freeport-mcmoran,,BD,freeport-mcmoran-copper-gold,"Freeport-McMoRan Copper & Gold Inc. (FCX) is an international mining company with headquarters in Phoenix, Arizona. FCX operates large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold and molybdenum. FCX is the world’s largest publicly traded copper producer and has a dynamic portfolio of operating, expansion and growth projects in the copper industry. FCX is also the world’s largest producer of molybdenum and a significant gold producer.  FCX’s portfolio of assets includes the Grasberg mining complex in Indonesia, one of the world’s largest copper and gold mines in terms of recoverable reserves, significant mining operations in North and South America, and the Tenke Fungurume minerals district in the Democratic Republic of Congo. At December 31, 2012, FCX had proven and probable copper reserves of 116.5 billion pounds."
gamestop,,BD,gamestop,"GameStop is a family of specialty retail brands that makes the most popular technologies affordable and simple. They are a global retailer of multichannel video game, pop culture collectibles, consumer electronics and wireless services, operating more than 6,900 stores in 14 countries across Europe, Canada, Australia and the United States.  GameStop is committed to delivering innovation to consumers anywhere, anytime and any way they want it. Whether looking for new or pre-owned, digital or physical video game titles, the latest in video game hardware or accessories or consumer electronics, gaming and technology enthusiasts are invited to discover and enjoy their favorite products in one of GameStop's welcoming retail environments.  Their  buy-sell-trade program provides substantial value to customers looking to trade-in video game hardware and software, or smartphones and tablets they no longer use or play. Each year GameStop provides more than $1 billion in trade credits, with more than 70 percent of these trade dollars being applied toward the purchase of new products.  The company's global family of video game related brands include GameStop; EB Games, an international electronics retailer; Micromania, France's leading video game retailer; Kongregate, a popular web and mobile gaming site; and Game Informer® magazine, the world's leading print and digital video game publication.  Their Technology Brands segment includes Spring Mobile, the No. 1 largest authorized dealer of AT&T wireless services; Cricket Wireless, an authorized dealer of pre-paid AT&T services; and Simply Mac, the largest certified retailer of Apple’s full line of products.  GameStop recently completed the acquisition of Geeknet, Inc., the parent company of ThinkGeek. With this acquisition, they are expanding into a growing $20 billion worldwide category as the premier global retailer that features exclusive and unique collectible products."
gap,,BD,gap,"Gap Inc. is a global retailer offering clothing, accessories, and personal care products for men, women, and children under the Gap, Banana Republic, Old Navy, Piperlime, Athleta, and Intermix brands.     Gap Inc. products are available for purchase in more than 90 countries worldwide through about 3,200 company-operated stores, nearly 400 franchise stores, and e-commerce sites.     Gap Inc. was co-founded by Don Fisher and Doris Fisher in 1969."
garmin,,BD,garmin,"Established in 1989, Garmin is a leading manufacturer of marine, aviation, and consumer technologies suitable to run on the Global Positioning System (GPS). It has delivered more than 100 million products, most of them enabled with GPS, which is far more than any other navigation provider.  Customers ranked high to Garmin products because they are easy to use and high in quality."
general-dynamics,,BD,general-dynamics,"General Dynamics is involved in business aviation; land and expeditionary combat vehicles and systems, armaments, and munitions; shipbuilding and marine systems; and mission-critical information systems and technologies.   General Dynamics has four main business segments.  Aerospace designs, develops, manufacturers and services a comprehensive offering of advanced business-jet aircraft.  Combat Systems specializes in producing, supporting and sustaining land and expeditionary combat systems for the U.S. military and its allies.  Marine Systems designs, builds and supports submarines and a variety of surface ships for the U.S. Navy and commercial customers.  The Information Systems and Technology group offers a breadth and depth of technology and service capabilities that support a wide range of government and commercial needs, including systems integration expertise; hardware and software products; and engineering, management and support services."
gilead-sciences,,BD,gilead-sciences,"Gilead Sciences, Inc. is a research-based biopharmaceutical company that discovers, develops and commercializes innovative medicines in areas of unmet need. With each new discovery and experimental drug candidate, they seek to improve the care of patients suffering from life-threatening diseases.  Gilead's primary areas of focus include HIV/AIDS, liver disease and serious cardiovascular and respiratory conditions."
gillette,,BD,gillette-company,"Gillette Company produces and sells personal care products for men. Its products include power and manual razors and razor blades; shave gels, foams, and creams; skin care and aftershave products; antiperspirants and deodorants; and thermal scrubs, sensitive face wash products, intense cooling lotions, UV moisturizers, and body wash products.  The Gillette Company was founded by King Camp Gillette in 1901 as a safety razor manufacturer. As of October 1, 2005, The Gillette Company operates as a subsidiary of The Procter & Gamble Company."
google,,BD,google,"Google is a multinational corporation that is specialized in internet-related services and products. The company’s product portfolio includes Google Search, which provides users with access to information online; Knowledge Graph that allows users to search for things, people, or places as well as builds systems recognizing speech and understanding natural language; Google Now, which provides information to users when they need it; Product Listing Ads that offer product image, price, and merchant information;  AdWords, an auction-based advertising program; AdSense, which enables websites that are part of the Google Network to deliver ads; Google Display, a display advertising network; DoubleClick Ad Exchange, a marketplace for the trading display ad space; and YouTube that offers video, interactive, and other ad formats.   Additionally, the company offers Android, an open-source mobile software platform; hardware products, including Chromebook, Chrome, Chromecast, and Nexus devices; Google+ , a social platform for sharing content with others; Google Play, a cloud-based digital entertainment store for apps, music, books, and movies; Google Drive, a place for users to create, share, collaborate, and keep their stuff; and Google Wallet, a virtual wallet for in-store contactless payments. Further, it provides Google Apps, which include Gmail, Calendar, and Google Sites that are built for people to work anywhere, anytime, on any device without loss of security or control; Google Maps Application Programming Interface; Google Earth Enterprise, a software solution for imagery and data visualization; Google App Engine, a Platform-as-a-service; Google Cloud Storage; Google BigQuery for real-time analytics; Google Cloud SQL for structured query language; and Google Compute Engine, an Infrastructure-as-a-service-Platform. It also offers mobile wireless devices, and related products and services.  Google was founded by Larry Page and Sergey Brin in 1996 while they were Ph.D. students at Stanford University."
graybar-electric-company,,F500,graybar,"Graybar, a Fortune 500 company, specializes in supply chain management services and is a leading North American distributor of high-quality components, equipment and materials for a number of industries.  With $6 billion in revenue (2014), Graybar employs thousands of men and women at more than 260 North American distribution centers. As one of North America's largest employee-owned companies, Graybar has the power and stability of a big company coupled with the integrity and drive of a neighborhood business.   Founded in 1869, Graybar procures, warehouses, and delivers tens of thousands of electrical supplies, communications and data products, components and related services to its customers. Graybar stocks and sells hundreds of thousands of items from thousands of manufacturers.  Graybar serves customers in the construction market, the commercial, institutional and government (CIG) market, and the industrial and utility markets, with products and services that support new construction, infrastructure updates, building renovation, facility maintenance, repair and operations, and original equipment manufacturing.  Through its distribution network and value-added services, including kitting and integrated solutions, Graybar is helping its customers to power and network their facilities with speed, intelligence and efficiency. By adding sophisticated logistics and project management to its operations, Graybar has become a vital link in America's supply chain."
grey-goose,,BD,grey,"Grey ranks among the world's top advertising and marketing organizations, serving one-fifth of the FORTUNE 500, in 96 countries. Under the banner of ""Grey Famously Effective Since 1917,"" we continue to break new ground in brand experience across every platform and create lasting consumer connections. Our parent company is WPP."
hanesbrands,,F500,hanesbrands,"Based in Winston-Salem, N.C., Hanesbrands Inc. (NYSE:HBI) is a global consumer goods company with more than a century of history and a portfolio of leading apparel essentials including T-shirts, bras, panties, men’s underwear, kids' underwear, socks, hosiery, casualwear and activewear Hanesbrands, which was spun off from Sara Lee Corporation in 2006, has approximately 50,000 employees."
harman-international-industries,,F500,harman-international,"Harman  International  Industries, Incorporated  engages in the development, manufacture, and marketing of audio products and electronic systems primarily in the United States. The company's Automotive segment designs, manufactures, and markets audio, electronic, and infotainment systems for vehicle applications to be installed primarily as original equipment by automotive manufacturers. It markets its products under various brands, including JBL, Infinity, Mark Levinson, Harman/Kardon, Logic 7, Lexicon, and Becker. This segment also markets personal navigation devices. The company's Consumer segment engages in the design, manufacture, and marketing of audio and consumer electronics for home, multimedia, and mobile applications under the AKG, Harman/Kardon, Infinity, JBL, and Mark Levinson brands. It also provides transducers and built-in speakers for notebook computers; audio systems for personal computers; aftermarket mobile products; and accessories. This segment sells its products through specialty audio stores and mass-market retail stores. The company's Professional segment designs, manufactures, and markets loudspeakers, power amplifiers, digital signal processors, microphones, and mixing consoles used by audio professionals in concert halls, stadiums, houses of worship, and other public spaces. It markets its products under various brands, including JBL Professional, AKG, Crown, Soundcraft, Lexicon, Mark Levinson, Revel, DigiTech, dbx, BSS, and Studer. Additionally, the company offers real-time operating system software, middleware, development tools, and consulting services under the QNX brand for various markets, including automotive, industrial control and automation, medical, networking and telecommunications, and security and defense. It has a strategic partnership agreement with Neusoft Corporation to develop advanced technologies in automotive and consumer electronics. The company was founded in 1980 and is headquartered in Stamford, Connecticut."
