name,source,about_us,cb,method,cb_desc
newmont-mining-corporation,F500,,newmont-mining,2,
nordstrom,BD,,nordstrom,0,
northwestern-mutual-life-insurance-company,F500,,northwestern-mutual-life,2,
nucor-corporation,F500,,nucor-corporation,0,
nvidia,BD,,nvidia,0,
nvr,F500,,nvr,0,
office-depot,F500,,office-depot,0,
old-republic-international-corporation,F500,,old-republic-international-corporation,0,
omnicom-group,F500,,omnicom-group,0,
oneok,BD,,oneok,0,
oracle,BD,,oracle,0,
owens-minor,F500,,owens-minor,0,
pacific-life,F500,,pacific-life-corporation,1,
parker-hannifin,BD,,parker-hannifin,0,
patterson-companies,BD,,patterson-companies,0,
paypal,BD,,paypal---russia,1,
peabody-energy-corporation,F500,,peabody-energy,2,
penske-automotive-group,F500,,penske-automotive-group,0,
pepsi,BD,,pepsico,1,
performance-food-group-company,F500,,performance-food-group,2,
petsmart,BD,,petsmart,0,
philip-morris,BD,,philip-morris-international,1,
phillips,IB,,phillips-pet-food-supplies,1,
pitney-bowes-inc,BD,,pitney-bowes,2,
pizza-hut,BD,,pizza-hut,0,
porsche,IB,,porsche,0,
ppl-corporation,F500,,ppl-corporation,0,
prudential,BD,,prudential-locations,1,
purina,BD,,purina-mills,1,
pvh-corp,F500,,pvh,2,
qualcomm,BD,,qualcomm,0,
quest-diagnostic,BD,,quest-diagnostics,1,
qvc,BD,,qvc,0,
regions,BD,,regions-financial,1,
reinsurance-group-of-america,F500,,rei,2,
rite-aid-corporation,F500,,rite-aid,2,
rockwell-automation,BD,,rockwell-automation,0,
rr-donnelley-and-sons-co,BD,,rr-donnelley,2,
ryder-system,F500,,ryder-systems,1,
safeway,BD,,safeway,0,
salesforce,BD,,salesforce,0,
sams-club,BD,,sams-club,0,
sanmina-corporation,F500,,sanmina-corporation,0,
santander,IB,,santander-bank-2,1,
sealed-air-corporation,F500,,sea,2,
seaboard-corporation,F500,,seaboard-corporation,0,
seagate,BD,,seagate,0,
sears-holdings-corporation,F500,,sears-holdings-corporation,0,
sempra-energy,F500,,sempra-energy,0,
siemens,IB,,siemens-healthcare,1,
sonic-automotive,F500,,sonic,2,
spartannash-company,F500,,spartannash,2,
spectra-energy-corp,F500,,spectra,2,
spirit-aerosystems-holdings,F500,,spirit-aerosystems,2,
staples,BD,,staples,0,
state-farm-insurance-cos,F500,,state-farm-insurance,2,
stryker,BD,,stryker,0,
sunoco,BD,,sunoco-logistics-partners,1,
supervalu,BD,,supervalu,0,
symantec,BD,,symantec,0,
sysco,BD,,sysco,0,
target,BD,,target,0,
telephone-and-data-systems,F500,,telephone-and-data-systems,0,
tenet-healthcare-corp,BD,,tenet-healthcare-corporation,1,
teradata,BD,,teradata,0,
terex-corporation,F500,,terex,2,
tesoro-corporation,F500,,tesoro-corporation,0,
textron,F500,,textron,0,
the-home-depot,BD,,the-home-depot-corporate,1,
the-north-face,BD,,the-north-face-emea,1,
thermo-fisher-scientific,BD,,thermo-fisher-scientific,0,
thomson-reuters,BD,,thomson-reuters,0,
thrivent-financial-for-lutherans,F500,,thrivent-financial,2,
timberland,BD,,timberland,0,
time-warner-cable,BD,,time-warner-cable,0,
tractor-supply,BD,,tractor-supply-company,1,
travelcenters-of-america-llc,F500,,travelcenters-of-america-llc,0,
travelers,BD,,travelers-insur,1,
treehouse-foods,BD,,treehouse-foods,0,
trident,BD,,trident-microsystems,1,
tripadvisor,BD,,tripadvisor,0,
twitter,BD,,twitter,0,
tyson,BD,,tyson-food,1,
ulta-salon-cosmetics,BD,,ulta-salon-cosmetics-fragrances,1,
united-technologies,BD,,united-technologies,0,
unitedhealth,BD,,unitedhealth-group,1,
univar,F500,,univar,0,
universal-health-services,F500,,universal-health-services,0,
universal-music-group,BD,,universal-music-group,0,
upc,BD,,upc-insurance,1,
us-foods-holding-corp,F500,,us-foods,2,
veritiv-corp,F500,,veritiv,2,
vf-corporation,F500,,vf-corporation,0,
visteon-corporation,F500,,visteon,2,
vmware,BD,,vmware,0,
walgreens,BD,,walgreens-boots-alliance,1,
walmart,BD,,walmart,0,
walt-disney,BD,,walt-disney-internet-group,1,
wec-energy-group,F500,,wec-energy-group,0,
wells-fargo,BD,,wells-fargo-capital-finance,1,
welltower-inc.,BD,,welltower-inc,2,
westrock-company,F500,,westrock,2,
whirlpool,BD,,whirlpool,0,
whole-foods,BD,,whole-foods-market,1,
williams,BD,,williams-international,1,
wipro,BD,,wipro,0,
world-fuel-services-corporation,F500,,world-fuel,2,
wrigleys,BD,,wrigley,2,
xpo-logistics,F500,,xpo-logistics,0,
yahoo,BD,,yahoo-4,1,
yoplait,BD,,yoplait,0,
youtube,BD,,youtube,0,
yum-brands,F500,,yum-brands-inc,1,
zimmer,BD,,zimmer-holdings,1,
