StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q7,1_Q2,2_Q2,3_Q2,4_Q2,5_Q2,6_Q2,7_Q2,8_Q2,9_Q2,10_Q2,11_Q2,12_Q2,13_Q2,14_Q2,15_Q2,16_Q2,17_Q2,18_Q2,19_Q2,20_Q2,21_Q2,22_Q2,23_Q2,24_Q2,25_Q2,26_Q2,27_Q2,28_Q2,29_Q2,30_Q2,31_Q2,32_Q2,33_Q2,34_Q2,35_Q2,36_Q2,37_Q2,38_Q2,39_Q2,40_Q2,41_Q2,42_Q2,43_Q2,44_Q2,45_Q2,46_Q2,47_Q2,48_Q2,49_Q2,50_Q2,Q13,Q11,Q13,Q15,WBLID,Session,Payment,Bonus,Retake,Complete
2021-02-10 10:11:10,2021-02-10 10:17:35,IP Address,100,384,True,2021-02-10 10:17:35,R_2U633LRtCTv5gTN,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,,,,,Brand #2: ${lm://Field/13},,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,45810,120130,5 Amazon Gift Card,0,False,2021-02-10T10:17:35-05:00
2021-02-10 10:15:21,2021-02-10 10:17:42,IP Address,100,140,True,2021-02-10 10:17:42,R_1l9IiBWAMemDam0,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,51648,120130,5 Amazon Gift Card,0,False,2021-02-10T10:17:42-05:00
2021-02-10 10:08:43,2021-02-10 10:18:10,IP Address,100,566,True,2021-02-10 10:18:10,R_1P1uIUCNeC4sjQD,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,,,,,Brand #2: ${lm://Field/13},"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,49730,120130,5 Amazon Gift Card,0,False,2021-02-10T10:18:10-05:00
2021-02-10 10:13:39,2021-02-10 10:19:42,IP Address,100,362,True,2021-02-10 10:19:42,R_3dMkxBgnJrAjAvc,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,Brand #2: ${lm://Field/13},,,,,,,,,,,,,,,,,,,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,51062,120130,5 Amazon Gift Card,0,False,2021-02-10T10:19:42-05:00
2021-02-10 10:14:34,2021-02-10 10:19:46,IP Address,100,311,True,2021-02-10 10:19:46,R_2v2mbkusUYXVcAN,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,64826,120130,5 Amazon Gift Card,0,False,2021-02-10T10:19:46-05:00
2021-02-10 10:14:51,2021-02-10 10:20:32,IP Address,100,340,True,2021-02-10 10:20:32,R_25sZ8WOy5RI3mxd,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,,,,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,58510,120130,5 Amazon Gift Card,0,False,2021-02-10T10:20:32-05:00
2021-02-10 10:06:00,2021-02-10 10:21:21,IP Address,100,920,True,2021-02-10 10:21:21,R_2ym6x4Jo8ZpfFkq,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61757,120130,5 Amazon Gift Card,0,False,2021-02-10T10:21:21-05:00
2021-02-10 10:18:15,2021-02-10 10:21:50,IP Address,100,215,True,2021-02-10 10:21:51,R_10w9RezT4pHoeIM,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,,,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,1-4 years,25-34,60115,120130,5 Amazon Gift Card,0,False,2021-02-10T10:21:50-05:00
2021-02-10 10:20:35,2021-02-10 10:22:16,IP Address,100,101,True,2021-02-10 10:22:17,R_1EXpmij2KVCyBLt,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,,,,,,Brand #1: ${lm://Field/7},,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,50171,120130,5 Amazon Gift Card,0,False,2021-02-10T10:22:16-05:00
2021-02-10 10:19:45,2021-02-10 10:22:47,IP Address,100,181,True,2021-02-10 10:22:47,R_24c1YIecJSA5iIa,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61830,120130,5 Amazon Gift Card,0,False,2021-02-10T10:22:47-05:00
2021-02-10 10:09:09,2021-02-10 10:23:53,IP Address,100,884,True,2021-02-10 10:23:54,R_2c5oISod8PoNY9X,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,,,,,,,,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,51120,120130,5 Amazon Gift Card,0,False,2021-02-10T10:23:53-05:00
2021-02-10 10:20:10,2021-02-10 10:23:56,IP Address,100,226,True,2021-02-10 10:23:56,R_8Cvo36HezxmiGT7,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,,,,,,Brand #2: ${lm://Field/13},,,,,,,,,,,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",25-34,43718,120130,5 Amazon Gift Card,0,False,2021-02-10T10:23:56-05:00
2021-02-10 10:20:10,2021-02-10 10:24:02,IP Address,100,232,True,2021-02-10 10:24:02,R_2Tv0Knkb3bENObv,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,,,,,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,60120,120130,5 Amazon Gift Card,0,False,2021-02-10T10:24:02-05:00
2021-02-10 10:22:53,2021-02-10 10:26:42,IP Address,100,228,True,2021-02-10 10:26:42,R_0DqHC1vbQ0WXmo1,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,,,,,,,,,,,,,,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61613,120130,5 Amazon Gift Card,0,False,2021-02-10T10:26:42-05:00
2021-02-10 10:23:44,2021-02-10 10:27:29,IP Address,100,225,True,2021-02-10 10:27:29,R_1pQnUz2IUXzmgLq,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",25-34,58278,120130,5 Amazon Gift Card,0,False,2021-02-10T10:27:29-05:00
2021-02-10 10:25:57,2021-02-10 10:27:38,IP Address,100,100,True,2021-02-10 10:27:38,R_10OdCwhufehaLQi,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,,,,,,,Brand #2: ${lm://Field/13},,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,58618,120130,5 Amazon Gift Card,0,False,2021-02-10T10:27:38-05:00
2021-02-10 10:24:22,2021-02-10 10:27:57,IP Address,100,214,True,2021-02-10 10:27:57,R_2b3Lqi0y10Zr4C5,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,,Brand #2: ${lm://Field/13},,,,,,,,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61834,120130,5 Amazon Gift Card,0,False,2021-02-10T10:27:57-05:00
2021-02-10 10:27:44,2021-02-10 10:29:08,IP Address,100,84,True,2021-02-10 10:29:09,R_sLHhWgp7ckuFMl3,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,,,,,,,,,,Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,60524,120130,5 Amazon Gift Card,0,False,2021-02-10T10:29:08-05:00
2021-02-10 10:28:45,2021-02-10 10:31:31,IP Address,100,166,True,2021-02-10 10:31:31,R_3L0arltJ5yDcS1K,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,,,,,,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,59800,120130,5 Amazon Gift Card,0,False,2021-02-10T10:31:31-05:00
2021-02-10 10:25:56,2021-02-10 10:32:15,IP Address,100,379,True,2021-02-10 10:32:15,R_1BORSYUNZVCO0ns,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,,,,,,,,,,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61636,120130,5 Amazon Gift Card,0,False,2021-02-10T10:32:15-05:00
2021-02-10 10:29:19,2021-02-10 10:32:32,IP Address,100,192,True,2021-02-10 10:32:32,R_3eNupuGW7tFXZaV,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,,,,,,,Brand #1: ${lm://Field/7},,,,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,59919,120130,5 Amazon Gift Card,0,False,2021-02-10T10:32:32-05:00
2021-02-10 10:24:21,2021-02-10 10:32:40,IP Address,100,499,True,2021-02-10 10:32:40,R_3qUQjKDLvqPwkB3,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,,,,,,,,,,,,,,,,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,50070,120130,5 Amazon Gift Card,0,False,2021-02-10T10:32:40-05:00
2021-02-10 10:10:59,2021-02-10 10:32:51,IP Address,100,1311,True,2021-02-10 10:32:52,R_2SHyKgN9TmqyQJ6,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,,,,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,51142,120130,5 Amazon Gift Card,0,False,2021-02-10T10:32:51-05:00
2021-02-10 10:30:57,2021-02-10 10:34:52,IP Address,100,235,True,2021-02-10 10:34:52,R_7Pzh03YxjGW4K0V,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,60527,120130,5 Amazon Gift Card,0,False,2021-02-10T10:34:52-05:00
2021-02-10 10:32:14,2021-02-10 10:35:22,IP Address,100,187,True,2021-02-10 10:35:22,R_8iWTcEwplzcPizD,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},,,,,,,,,,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,58376,120130,5 Amazon Gift Card,0,False,2021-02-10T10:35:22-05:00
2021-02-10 10:23:06,2021-02-10 10:35:42,IP Address,100,756,True,2021-02-10 10:35:42,R_2VJGoYO5RJMfYUw,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,,,Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},,,,,,,,,,,Brand #2: ${lm://Field/13},"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,63738,120130,5 Amazon Gift Card,0,False,2021-02-10T10:35:42-05:00
2021-02-10 10:31:23,2021-02-10 10:35:59,IP Address,100,275,True,2021-02-10 10:35:59,R_2OGXjlXK1AcHnfO,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,,,,,,,,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,,,,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,46473,120130,5 Amazon Gift Card,0,False,2021-02-10T10:35:59-05:00
2021-02-10 10:28:33,2021-02-10 10:36:26,IP Address,100,472,True,2021-02-10 10:36:26,R_2nmX7N3Bx3BefNn,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,59969,120130,5 Amazon Gift Card,0,False,2021-02-10T10:36:26-05:00
2021-02-10 10:36:41,2021-02-10 10:40:01,IP Address,100,200,True,2021-02-10 10:40:02,R_3oKCRItliOAb1AS,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,,,,,,,Brand #2: ${lm://Field/13},,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,60150,120130,5 Amazon Gift Card,0,False,2021-02-10T10:40:01-05:00
2021-02-10 10:34:58,2021-02-10 10:40:15,IP Address,100,316,True,2021-02-10 10:40:15,R_3ha46j1bCKSO7mq,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,49749,120130,5 Amazon Gift Card,0,False,2021-02-10T10:40:15-05:00
